Athlete,Country,Gender,Discipline,Event,Year,Medal
"KRAMER, Sven",NED,Men,Speed skating,Team Pursuit,2006,Bronze
"KRAMER, Sven",NED,Men,Speed skating,5000M,2010,Gold
"KRAMER, Sven",NED,Men,Speed skating,Team Pursuit,2010,Bronze
"KRAMER, Sven",NED,Men,Speed skating,10000M,2014,Silver
"KRAMER, Sven",NED,Men,Speed skating,5000M,2014,Gold
"KRAMER, Sven",NED,Men,Speed skating,Team Pursuit,2014,Gold
"KRANJEC, Robert",SLO,Men,Ski Jumping,K120 Team (90M),2002,Bronze
"KRASNOVA, Vera",URS,Women,Speed skating,500M,1972,Silver
"KRAUPP, Sebastian",SWE,Men,Curling,Curling,2014,Bronze
"KRAUS, Alanna",CAN,Women,Short Track Speed Skating,3000M Relay,2002,Bronze
"KRAUS, Alanna",CAN,Women,Short Track Speed Skating,3000M Relay,2006,Silver
"KRAUS, Marinus",GER,Men,Ski Jumping,Teams,2014,Gold
"KRAUSE, Sigrun",GDR,Women,Cross Country Skiing,4X5KM Relay,1976,Bronze
"KRAUSHAAR, Silke",GER,Women,Luge,Singles,1998,Gold
"KRAUSHAAR, Silke",GER,Women,Luge,Singles,2002,Bronze
"KRAUSHAAR, Silke",GER,Women,Luge,Singles,2006,Silver
"KRAUSSE, Stefan",GDR,Men,Luge,Doubles,1988,Silver
"KRAUSSE, Stefan",GER,Men,Luge,Doubles,1992,Gold
"KRAUSSE, Stefan",GER,Men,Luge,Doubles,1994,Bronze
"KRAUSSE, Stefan",GER,Men,Luge,Doubles,1998,Gold
"KRAVCHUK, Igor",URS,Men,Ice Hockey,Ice Hockey,1988,Gold
"KRAVCHUK, Igor",EUN,Men,Ice Hockey,Ice Hockey,1992,Gold
"KRAVCHUK, Igor",RUS,Men,Ice Hockey,Ice Hockey,1998,Silver
"KRAVCHUK, Igor",RUS,Men,Ice Hockey,Ice Hockey,2002,Bronze
"KREINER, David",AUT,Men,Nordic Combined,"Team, 4X5 KM",2010,Gold
"KREINER, Kathy",CAN,Women,Alpine Skiing,Giant Slalom,1976,Gold
"KREINER, Marion",AUT,Women,Snowboard,Giant Parallel Slalom,2010,Bronze
"KREINER, Stefan",AUT,Men,Nordic Combined,Team,1992,Bronze
"KREMPL, Valentin",GER,Men,Bobsleigh,Five-Man,1928,Bronze
"KRISTOFFERSEN, Henrik",NOR,Men,Alpine Skiing,Slalom,2014,Bronze
"KRIUKOV, Nikita",RUS,Men,Cross Country Skiing,Sprint 1.5KM,2010,Gold
"KRIUKOV, Nikita",RUS,Men,Cross Country Skiing,Team Sprint,2014,Silver
"KRIVOKRASSOV, Serguei",RUS,Men,Ice Hockey,Ice Hockey,1998,Silver
"KROG, Georg",NOR,Men,Speed skating,500M,1936,Silver
"KROG, Magnus",NOR,Men,Nordic Combined,Ind. K90 (70M),2014,Bronze
"KROG, Magnus",NOR,Men,Nordic Combined,"Team, 4X5 KM",2014,Gold
"KRONBERGER, Petra",AUT,Women,Alpine Skiing,Alpine Combined,1992,Gold
"KRONBERGER, Petra",AUT,Women,Alpine Skiing,Slalom,1992,Gold
"KRONLUND, Carl Augustus Verner",SWE,Men,Curling,Curling,1924,Silver
"KRONWALL, Niklas",SWE,Men,Ice Hockey,Ice Hockey,2006,Gold
"KRONWALL, Niklas",SWE,Men,Ice Hockey,Ice Hockey,2014,Silver
"KROOKS, Sari",FIN,Women,Ice Hockey,Ice Hockey,1998,Bronze
"KROTKI, Rudolf",GER,Men,Bobsleigh,Four-Man,1932,Bronze
"KRUGER, Marcus",SWE,Men,Ice Hockey,Ice Hockey,2014,Silver
"KRUGLOV, Nikolay",URS,Men,Biathlon,20KM,1976,Gold
"KRUGLOV, Nikolay",URS,Men,Biathlon,4X7.5KM Relay,1976,Gold
"KRUGLOV, Nikolay",RUS,Men,Biathlon,4X7.5KM Relay,2006,Silver
"KRUTOV, Vladimir",URS,Men,Ice Hockey,Ice Hockey,1980,Silver
"KRUTOV, Vladimir",URS,Men,Ice Hockey,Ice Hockey,1984,Gold
"KRUTOV, Vladimir",URS,Men,Ice Hockey,Ice Hockey,1988,Gold
"KRYLOV, Yuri",URS,Men,Ice Hockey,Ice Hockey,1956,Gold
"KRYLOVA, Anjelika",RUS,Women,Figure skating,Ice Dancing,1998,Silver
"KUBA, Filip",CZE,Men,Ice Hockey,Ice Hockey,2006,Bronze
"KUBINA, Pavel",CZE,Men,Ice Hockey,Ice Hockey,2006,Bronze
"KUCERA, Frantisek",CZE,Men,Ice Hockey,Ice Hockey,1998,Gold
"KUCHEVSKIY, Alfred",URS,Men,Ice Hockey,Ice Hockey,1956,Gold
"KUCHEVSKIY, Alfred",URS,Men,Ice Hockey,Ice Hockey,1960,Bronze
"KUCK, Jonathan",USA,Men,Speed skating,Team Pursuit,2010,Silver
"KUEHN, Enrico",GER,Men,Bobsleigh,Four-Man,2002,Gold
"KUENZEL, Claudia",GER,Women,Cross Country Skiing,4X5KM Relay,2002,Gold
"KUENZEL, Claudia",GER,Women,Cross Country Skiing,4X5KM Relay,2006,Silver
"KUENZEL, Claudia",GER,Women,Cross Country Skiing,Sprint 1.5KM,2006,Silver
"KÜHN, Axel",GER,Men,Bobsleigh,Four-Man,1992,Silver
"KUHN, Friedrich",FRG,Men,Bobsleigh,Four-Man,1952,Gold
"KÜHNHACKL, Erich",FRG,Men,Ice Hockey,Ice Hockey,1976,Bronze
"KUIPERS, Simon",NED,Men,Speed skating,Team Pursuit,2010,Bronze
"KUISMA, Antti",FIN,Men,Nordic Combined,Team,2006,Bronze
"KUISMA, Mira",FIN,Women,Ice Hockey,Ice Hockey,2010,Bronze
"KUITUNEN, Virpi",FIN,Women,Cross Country Skiing,Team Sprint,2006,Bronze
"KUITUNEN, Virpi",FIN,Women,Cross Country Skiing,4X5KM Relay,2010,Bronze
"KUIVALAINEN, Pasi",FIN,Men,Ice Hockey,Ice Hockey,1994,Bronze
"KUKKONEN, Lasse",FIN,Men,Ice Hockey,Ice Hockey,2006,Silver
"KUKKONEN, Lasse",FIN,Men,Ice Hockey,Ice Hockey,2010,Bronze
"KUKKONEN, Lasse",FIN,Men,Ice Hockey,Ice Hockey,2014,Bronze
"KULAKOVA, Galina",URS,Women,Cross Country Skiing,3X5KM Relay,1968,Bronze
"KULAKOVA, Galina",URS,Women,Cross Country Skiing,5KM,1968,Silver
"KULAKOVA, Galina",URS,Women,Cross Country Skiing,10KM,1972,Gold
"KULAKOVA, Galina",URS,Women,Cross Country Skiing,3X5KM Relay,1972,Gold
"KULAKOVA, Galina",URS,Women,Cross Country Skiing,5KM,1972,Gold
"KULAKOVA, Galina",URS,Women,Cross Country Skiing,10KM,1976,Bronze
"KULAKOVA, Galina",URS,Women,Cross Country Skiing,4X5KM Relay,1976,Gold
"KULAKOVA, Galina",URS,Women,Cross Country Skiing,4X5KM Relay,1980,Silver
"KULIK, Ilia",RUS,Men,Figure skating,Individual,1998,Gold
"KULIKOV, Yevgeny",URS,Men,Speed skating,500M,1976,Gold
"KULIKOV, Yevgeny",URS,Men,Speed skating,500M,1980,Silver
"KUMMER, Patrizia",SUI,Women,Snowboard,Giant Parall.S.,2014,Gold
"KUNITZ, Chris",CAN,Men,Ice Hockey,Ice Hockey,2014,Gold
"KUNZ, Andreas",GDR,Men,Nordic Combined,Individual,1968,Bronze
"KURKINA, Larisa",RUS,Women,Cross Country Skiing,4X5KM Relay,2006,Gold
"KUROIWA, Akira",JPN,Men,Speed skating,500M,1988,Bronze
"KUROIWA, Toshiyuki",JPN,Men,Speed skating,500M,1992,Silver
"KURRI, Jari",FIN,Men,Ice Hockey,Ice Hockey,1998,Bronze
"KUSHNIR, Anton",BLR,Men,Freestyle Skiing,Aerials,2014,Gold
"KUSKE, Kevin",GER,Men,Bobsleigh,Four-Man,2002,Gold
"KUSKE, Kevin",GER,Men,Bobsleigh,Four-Man,2006,Gold
"KUSKE, Kevin",GER,Men,Bobsleigh,Two-Man,2006,Gold
"KUSKE, Kevin",GER,Men,Bobsleigh,Four-Man,2010,Silver
"KUSKE, Kevin",GER,Men,Bobsleigh,Two-Man,2010,Gold
"KUTTIN, Heinz",AUT,Men,Ski Jumping,K120 Individual (90M),1992,Bronze
"KUTTIN, Heinz",AUT,Men,Ski Jumping,K120 Team (90M),1992,Silver
"KUTTIN, Heinz",AUT,Men,Ski Jumping,K120 Team (90M),1994,Bronze
"KUUSISTO, Mika",FIN,Men,Cross Country Skiing,4X10KM Relay,1992,Bronze
"KUZMINA, Anastazia",SVK,Women,Biathlon,10KM Pursuit,2010,Silver
"KUZMINA, Anastazia",SVK,Women,Biathlon,7.5KM,2010,Gold
"KUZMINA, Anastazia",SVK,Women,Biathlon,7.5KM,2014,Gold
"KUZNETSOV, Aleksei",URS,Men,Cross Country Skiing,4X10KM Relay,1960,Bronze
"KVALFOSS, Eirik",NOR,Men,Biathlon,10KM,1984,Gold
"KVALFOSS, Eirik",NOR,Men,Biathlon,20KM,1984,Bronze
"KVALFOSS, Eirik",NOR,Men,Biathlon,4X7.5KM Relay,1984,Silver
"KVASHA, Oleg",RUS,Men,Ice Hockey,Ice Hockey,2002,Bronze
"KWAK, Yoon-Gy",KOR,Men,Short Track Speed Skating,5000M Relay,2010,Silver
"KWAN, Michelle",USA,Women,Figure skating,Individual,1998,Silver
"KWAN, Michelle",USA,Women,Figure skating,Individual,2002,Bronze
"KYHOS, Vladimir",TCH,Men,Ice Hockey,Ice Hockey,1984,Silver
"KYLLOENEN, Anne",FIN,Women,Cross Country Skiing,4X5KM Relay,2014,Silver
"LA BATTE, Philip William",USA,Men,Ice Hockey,Ice Hockey,1936,Bronze
"LAAKKONEN, Risto",FIN,Men,Ski Jumping,K120 Team (90M),1992,Gold
"LAAKSONEN, Antti",FIN,Men,Ice Hockey,Ice Hockey,2006,Silver
"LAAKSONEN, Emma",FIN,Women,Ice Hockey,Ice Hockey,1998,Bronze
"LAAKSONEN, Emma",FIN,Women,Ice Hockey,Ice Hockey,2010,Bronze
"LABONTE, Charline",CAN,Women,Ice Hockey,Ice Hockey,2006,Gold
"LABONTE, Charline",CAN,Women,Ice Hockey,Ice Hockey,2010,Gold
"LABONTE, Charline",CAN,Women,Ice Hockey,Ice Hockey,2014,Gold
"LACASSE, Genevieve",CAN,Women,Ice Hockey,Ice Hockey,2014,Gold
"LACKIE, Mark",CAN,Men,Short Track Speed Skating,5000M Relay,1992,Silver
"LACROIX, Alphonse",USA,Men,Ice Hockey,Ice Hockey,1924,Silver
"LACROIX, Léo",FRA,Men,Alpine Skiing,Downhill,1964,Silver
"LAGO, Scott",USA,Men,Snowboard,Half-Pipe,2010,Bronze
"LÄHDE, Matti",FIN,Men,Cross Country Skiing,4X10KM Relay,1936,Gold
"LAHTEENMAKI, Krista",FIN,Women,Cross Country Skiing,4X5KM Relay,2014,Silver
"LAHTELA, Janne",FIN,Men,Freestyle Skiing,Moguls,1998,Silver
"LAHTELA, Janne",FIN,Men,Freestyle Skiing,Moguls,2002,Gold
"LAINE, Erkki",FIN,Men,Ice Hockey,Ice Hockey,1988,Silver
"LAITINEN, Kari",FIN,Men,Ice Hockey,Ice Hockey,1988,Silver
"LAITINEN, Mika",FIN,Men,Ski Jumping,K120 Team (90M),1992,Gold
"LAJUNEN, Samppa",FIN,Men,Nordic Combined,Individual,1998,Silver
"LAJUNEN, Samppa",FIN,Men,Nordic Combined,Team,1998,Silver
"LAJUNEN, Samppa",FIN,Men,Nordic Combined,Individual,2002,Gold
"LAJUNEN, Samppa",FIN,Men,Nordic Combined,Sprint,2002,Gold
"LAJUNEN, Samppa",FIN,Men,Nordic Combined,Team,2002,Gold
"LALA, Jiri",TCH,Men,Ice Hockey,Ice Hockey,1984,Silver
"LAMARRE, Kim",CAN,Women,Freestyle Skiing,Ski Slopestyle,2014,Bronze
"LAMBERT, Nathalie",CAN,Women,Short Track Speed Skating,3000M Relay,1992,Gold
"LAMBERT, Nathalie",CAN,Women,Short Track Speed Skating,1000M,1994,Silver
"LAMBERT, Nathalie",CAN,Women,Short Track Speed Skating,3000M Relay,1994,Silver
"LAMBIEL, Stephane",SUI,Men,Figure skating,Individual,2006,Silver
"LAMMIO, Pentti",FIN,Men,Speed skating,10000M,1948,Bronze
"LAMOUREUX, Jocelyne",USA,Women,Ice Hockey,Ice Hockey,2010,Silver
"LAMOUREUX, Jocelyne",USA,Women,Ice Hockey,Ice Hockey,2014,Silver
"LAMOUREUX, Monique",USA,Women,Ice Hockey,Ice Hockey,2010,Silver
"LAMOUREUX, Monique",USA,Women,Ice Hockey,Ice Hockey,2014,Silver
"LAMPARTER, Thomas",SUI,Men,Bobsleigh,Four-Man,2006,Bronze
"LAMY CHAPPUIS, Jason",FRA,Men,Nordic Combined,"Individual, Ski Jumping K90 (70M)",2010,Gold
"LAMY, James Ernest",USA,Men,Bobsleigh,Four-Man,1956,Bronze
"LANDERTINGER, Dominik",AUT,Men,Biathlon,4X7.5KM Relay,2010,Silver
"LANDERTINGER, Dominik",AUT,Men,Biathlon,10KM,2014,Silver
"LANDERTINGER, Dominik",AUT,Men,Biathlon,4X7.5KM Relay,2014,Bronze
"LANDESKOG, Gabriel",SWE,Men,Ice Hockey,Ice Hockey,2014,Silver
"LANG, Robert",TCH,Men,Ice Hockey,Ice Hockey,1992,Bronze
"LANG, Robert",CZE,Men,Ice Hockey,Ice Hockey,1998,Gold
"LANG, Robert",CZE,Men,Ice Hockey,Ice Hockey,2006,Bronze
"LANGE, Andre",GER,Men,Bobsleigh,Four-Man,2002,Gold
"LANGE, Andre",GER,Men,Bobsleigh,Four-Man,2006,Gold
"LANGE, Andre",GER,Men,Bobsleigh,Two-Man,2006,Gold
"LANGE, Andre",GER,Men,Bobsleigh,Four-Man,2010,Silver
"LANGE, Andre",GER,Men,Bobsleigh,Two-Man,2010,Gold
"LANGEN, Christoph",GER,Men,Bobsleigh,Two-Man,1992,Bronze
"LANGEN, Christoph",GER,Men,Bobsleigh,Four-Man,1998,Gold
"LANGEN, Christoph",GER,Men,Bobsleigh,Two-Man,1998,Bronze
"LANGEN, Christoph",GER,Men,Bobsleigh,Two-Man,2002,Gold
"LANGENBRUNNER, Jamie",USA,Men,Ice Hockey,Ice Hockey,2010,Silver
"LANGLEY, John Arthur",USA,Men,Ice Hockey,Ice Hockey,1924,Silver
"LANGLI, Terje",NOR,Men,Cross Country Skiing,30KM Mass Start,1992,Bronze
"LANGLI, Terje",NOR,Men,Cross Country Skiing,4X10KM Relay,1992,Gold
"LANGLOIS, Lloyd",CAN,Men,Freestyle Skiing,Aerials,1994,Bronze
"LANGTON, Steven",USA,Men,Bobsleigh,Four-Man,2014,Bronze
"LANGTON, Steven",USA,Men,Bobsleigh,Two-Man,2014,Bronze
"LANIG, Hanspeter",EUA,Men,Alpine Skiing,Downhill,1960,Silver
"LANKOSAARI, Sanna",FIN,Women,Ice Hockey,Ice Hockey,1998,Bronze
"LANNOY, Micheline",BEL,Women,Figure skating,Pairs,1948,Gold
"LANTSCHNER, Gustav",GER,Men,Alpine Skiing,Alpine Combined,1936,Silver
"LAOURA, Sandra",FRA,Women,Freestyle Skiing,Moguls,2006,Bronze
"LAPERRIERE, Henri-André",CAN,Men,Ice Hockey,Ice Hockey,1948,Gold
"LAPPALAINEN, Martti",FIN,Men,Biathlon,Military Patrol,1924,Silver
"LARIONOV, Igor",URS,Men,Ice Hockey,Ice Hockey,1984,Gold
"LARIONOV, Igor",URS,Men,Ice Hockey,Ice Hockey,1988,Gold
"LARIONOV, Igor",RUS,Men,Ice Hockey,Ice Hockey,2002,Bronze
"LAROCHE, Philippe",CAN,Men,Freestyle Skiing,Aerials,1994,Silver
"LAROCQUE, Jocelyne",CAN,Women,Ice Hockey,Ice Hockey,2014,Gold
"LARSEN, Roald",NOR,Men,Speed skating,10000M,1924,Bronze
"LARSEN, Roald",NOR,Men,Speed skating,1500M,1924,Silver
"LARSEN, Roald",NOR,Men,Speed skating,5000M,1924,Bronze
"LARSEN, Roald",NOR,Men,Speed skating,500M,1924,Bronze
"LARSEN, Roald",NOR,Men,Speed skating,Combined (4 Events),1924,Silver
"LARSEN, Roald",NOR,Men,Speed skating,500M,1928,Bronze
"LARSSON, Erik",SWE,Men,Ice Hockey,Ice Hockey,1928,Silver
"LARSSON, Erik August",SWE,Men,Cross Country Skiing,18KM,1936,Gold
"LARSSON, Erik August",SWE,Men,Cross Country Skiing,4X10KM Relay,1936,Bronze
"LARSSON, Gunnar",SWE,Men,Cross Country Skiing,15KM,1968,Bronze
"LARSSON, Gunnar",SWE,Men,Cross Country Skiing,4X10KM Relay,1968,Silver
"LARSSON, Lennart",SWE,Men,Cross Country Skiing,4X10KM Relay,1956,Bronze
"LARSSON, Maria",SWE,Women,Ice Hockey,Ice Hockey,2002,Bronze
"LARSSON, Mats",SWE,Men,Cross Country Skiing,4X10KM Relay,2006,Bronze
"LARSSON, Per-Erik",SWE,Men,Cross Country Skiing,4X10KM Relay,1956,Bronze
"LASSAS, Erik Ake",SWE,Men,Ice Hockey,Ice Hockey,1952,Bronze
"LASSILA, Lydia",AUS,Women,Freestyle Skiing,Aerials,2010,Gold
"LASSILA, Lydia",AUS,Women,Freestyle Skiing,Aerials,2014,Bronze
"LAUFMAN, Kenneth",CAN,Men,Ice Hockey,Ice Hockey,1956,Bronze
"LAUFMAN, Kenneth",CAN,Men,Ice Hockey,Ice Hockey,1960,Silver
"LAUKKANEN, Janne",FIN,Men,Ice Hockey,Ice Hockey,1994,Bronze
"LAUKKANEN, Janne",FIN,Men,Ice Hockey,Ice Hockey,1998,Bronze
"LAUKKANEN, Teuvo",FIN,Men,Cross Country Skiing,4X10KM Relay,1948,Silver
"LAURENT, Lionel",FRA,Men,Biathlon,4X7.5KM Relay,1994,Bronze
"LAURILA, Kalevi",FIN,Men,Cross Country Skiing,4X10KM Relay,1964,Silver
"LAURILA, Kalevi",FIN,Men,Cross Country Skiing,4X10KM Relay,1968,Bronze
"LAVRSEN, Helena Blach",DEN,Women,Curling,Curling,1998,Silver
"LAW, Kelley",CAN,Women,Curling,Curling,2002,Bronze
"LAWES, Kaitlyn",CAN,Women,Curling,Curling,2014,Gold
"LAWLER, Erika",USA,Women,Ice Hockey,Ice Hockey,2010,Silver
"LAWRENCE, Richard Webster",USA,Men,Bobsleigh,Two-Man,1936,Bronze
"LAX, John Charles",USA,Men,Ice Hockey,Ice Hockey,1936,Bronze
"LAZUTINA, Larissa",EUN,Women,Cross Country Skiing,4X5KM Relay,1992,Gold
"LAZUTINA, Larissa",RUS,Women,Cross Country Skiing,4X5KM Relay,1994,Gold
"LAZUTINA, Larissa",RUS,Women,Cross Country Skiing,15KM Mass Start,1998,Silver
"LAZUTINA, Larissa",RUS,Women,Cross Country Skiing,30KM,1998,Bronze
"LAZUTINA, Larissa",RUS,Women,Cross Country Skiing,4X5KM Relay,1998,Gold
"LAZUTINA, Larissa",RUS,Women,Cross Country Skiing,5KM,1998,Gold
"LAZUTINA, Larissa",RUS,Women,Cross Country Skiing,Combined 5KM + 10KM Pursuit,1998,Gold
"Le BIHAN, Chris",CAN,Men,Bobsleigh,Four-Man,2010,Bronze
"LE CHANONY, Eric",FRA,Men,Bobsleigh,Four-Man,1998,Bronze
"LEBANOV, Ivan",BUL,Men,Cross Country Skiing,30KM Mass Start,1980,Bronze
"LEBEAU, Patrick",CAN,Men,Ice Hockey,Ice Hockey,1992,Silver
"LEBEDEV, Vladimir",RUS,Men,Freestyle Skiing,Aerials,2006,Bronze
"LEBEDEV, Yuri",URS,Men,Ice Hockey,Ice Hockey,1980,Silver
"LEBLANC-BOUCHER, Anouk",CAN,Women,Short Track Speed Skating,3000M Relay,2006,Silver
"LEBLANC-BOUCHER, Anouk",CAN,Women,Short Track Speed Skating,500M,2006,Bronze
"LECHNER, Erica",ITA,Women,Luge,Singles,1968,Gold
"LECLAIR, John",USA,Men,Ice Hockey,Ice Hockey,2002,Silver
"LECOMPTE, John Howard",CAN,Men,Ice Hockey,Ice Hockey,1948,Gold
"LEE-GARTNER, Kerrin",CAN,Women,Alpine Skiing,Downhill,1992,Gold
"LEE, Eun-Byul",KOR,Women,Short Track Speed Skating,1500M,2010,Silver
"LEE, Ho-Eung",KOR,Men,Short Track Speed Skating,5000M Relay,1998,Silver
"LEE, Ho-Suk",KOR,Men,Short Track Speed Skating,1000M,2006,Silver
"LEE, Ho-Suk",KOR,Men,Short Track Speed Skating,1500M,2006,Silver
"LEE, Ho-Suk",KOR,Men,Short Track Speed Skating,5000M Relay,2006,Gold
"LEE, Ho-Suk",KOR,Men,Short Track Speed Skating,1000M,2010,Silver
"LEE, Ho-Suk",KOR,Men,Short Track Speed Skating,5000M Relay,2010,Silver
"LEE, Howard Stewart",CAN,Men,Ice Hockey,Ice Hockey,1956,Bronze
"LEE, Jun-Ho",KOR,Men,Short Track Speed Skating,1000M,1992,Bronze
"LEE, Jun-Ho",KOR,Men,Short Track Speed Skating,5000M Relay,1992,Gold
"LEE, Jun-Hwan",KOR,Men,Short Track Speed Skating,5000M Relay,1998,Silver
"LEE, Jung-Su",KOR,Men,Short Track Speed Skating,1000M,2010,Gold
"LEE, Jung-Su",KOR,Men,Short Track Speed Skating,1500M,2010,Gold
"LEE, Jung-Su",KOR,Men,Short Track Speed Skating,5000M Relay,2010,Silver
"LEE, Kang Seok",KOR,Men,Speed skating,500M,2006,Bronze
"LEE, Sang Hwa",KOR,Women,Speed skating,500M,2014,Gold
"LEE, Sang-Hwa",KOR,Women,Speed skating,500M,2010,Gold
"LEE, Seung Hoon",KOR,Men,Speed skating,Team Pursuit,2014,Silver
"LEE, Seung-Hoon",KOR,Men,Speed skating,10000M,2010,Gold
"LEE, Seung-Hoon",KOR,Men,Speed skating,5000M,2010,Silver
"LEENSTRA, Marrit",NED,Women,Speed skating,Team Pursuit,2014,Gold
"LEETCH, Brian",USA,Men,Ice Hockey,Ice Hockey,2002,Silver
"LEGACE, Manny",CAN,Men,Ice Hockey,Ice Hockey,1994,Silver
"LEGKOV, Alexander",RUS,Men,Cross Country Skiing,4X10KM Relay,2014,Silver
"LEGKOV, Alexander",RUS,Men,Cross Country Skiing,50KM,2014,Gold
"LEHMANN, Bernhard",GDR,Men,Bobsleigh,Four-Man,1976,Gold
"LEHMANN, Bernhard",GDR,Men,Bobsleigh,Four-Man,1984,Silver
"LEHMANN, Bernhard",GDR,Men,Bobsleigh,Two-Man,1984,Silver
"LEHMANN, Bernhard",GDR,Men,Bobsleigh,Two-Man,1988,Bronze
"LEHTD, Katja",FIN,Women,Ice Hockey,Ice Hockey,1998,Bronze
"LEHTERA, Jori",FIN,Men,Ice Hockey,Ice Hockey,2014,Bronze
"LEHTERAE, Tero",FIN,Men,Ice Hockey,Ice Hockey,1994,Bronze
"LEHTIMAKI, Marika",FIN,Women,Ice Hockey,Ice Hockey,1998,Bronze
"LEHTINEN, Jere",FIN,Men,Ice Hockey,Ice Hockey,1994,Bronze
"LEHTINEN, Jere",FIN,Men,Ice Hockey,Ice Hockey,1998,Bronze
"LEHTINEN, Jere",FIN,Men,Ice Hockey,Ice Hockey,2006,Silver
"LEHTINEN, Jere",FIN,Men,Ice Hockey,Ice Hockey,2010,Bronze
"LEHTONEN, Erkki",FIN,Men,Ice Hockey,Ice Hockey,1988,Silver
"LEHTONEN, Kari",FIN,Men,Ice Hockey,Ice Hockey,2014,Bronze
"LEHTONEN, Mirja",FIN,Women,Cross Country Skiing,3X5KM Relay,1964,Bronze
"LEHTONEN, Mirja",FIN,Women,Cross Country Skiing,5KM,1964,Silver
"LEICHNITZ, J.",CAN,Men,Ice Hockey,Ice Hockey,1948,Gold
"LEINWEBER, Walter",GER,Men,Ice Hockey,Ice Hockey,1932,Bronze
"LEITNER, Matthias",AUT,Men,Alpine Skiing,Slalom,1960,Silver
"LEITNER, Patric",GER,Men,Luge,Doubles,2010,Bronze
"LEITNER, Patric-Fritz",GER,Men,Luge,Doubles,2002,Gold
"LEMAY DOAN, Catriona",CAN,Women,Speed skating,1000M,1998,Bronze
"LEMAY DOAN, Catriona",CAN,Women,Speed skating,500M,1998,Gold
"LEMAY DOAN, Catriona",CAN,Women,Speed skating,500M,2002,Gold
"LEMIEUX, Mario",CAN,Men,Ice Hockey,Ice Hockey,2002,Gold
"LEODOLTER, Otto",AUT,Men,Ski Jumping,K90 Individual (70M),1960,Bronze
"LEONARDI CORTESI, Natascia",SUI,Women,Cross Country Skiing,4X5KM Relay,2002,Bronze
"LEPISTO, Sami",FIN,Men,Ice Hockey,Ice Hockey,2010,Bronze
"LEPISTO, Sami",FIN,Men,Ice Hockey,Ice Hockey,2014,Bronze
"LESSER, Erik",GER,Men,Biathlon,20KM,2014,Silver
"LESSER, Erik",GER,Men,Biathlon,4X7.5KM Relay,2014,Silver
"LESTANDER, Klas",SWE,Men,Biathlon,20KM,1960,Gold
"LEU, Evelyne",SUI,Women,Freestyle Skiing,Aerials,2006,Gold
"LEUTENEGGER, Hans",SUI,Men,Bobsleigh,Four-Man,1972,Gold
"LEVANDI, Allar",URS,Men,Nordic Combined,Individual,1988,Bronze
"LI, JiaJun",CHN,Men,Short Track Speed Skating,1000M,1998,Silver
"LI, JiaJun",CHN,Men,Short Track Speed Skating,5000M Relay,1998,Bronze
"LI, JiaJun",CHN,Men,Short Track Speed Skating,1500M,2002,Silver
"LI, JiaJun",CHN,Men,Short Track Speed Skating,5000M Relay,2002,Bronze
"LI, JiaJun",CHN,Men,Short Track Speed Skating,1500M,2006,Bronze
"LI, Jianrou",CHN,Women,Short Track Speed Skating,500M,2014,Gold
"LI, Nina",CHN,Women,Freestyle Skiing,Aerials,2006,Silver
"LI, Nina",CHN,Women,Freestyle Skiing,Aerials,2010,Silver
"LI, Yan",CHN,Women,Short Track Speed Skating,500M,1992,Silver
"LI, Ye",CHN,Men,Short Track Speed Skating,5000M Relay,2002,Bronze
"LIAKLEV, Reidar",NOR,Men,Speed skating,5000M,1948,Gold
"LIANG, Wenhao",CHN,Men,Short Track Speed Skating,5000M Relay,2014,Bronze
"LIBA, Igor",TCH,Men,Ice Hockey,Ice Hockey,1984,Silver
"LIBA, Igor",TCH,Men,Ice Hockey,Ice Hockey,1992,Bronze
"LID, Hilde Synnove",NOR,Women,Freestyle Skiing,Aerials,1994,Bronze
"LIDSTROM, Nicklas",SWE,Men,Ice Hockey,Ice Hockey,2006,Gold
"LIGETY, Ted",USA,Men,Alpine Skiing,Alpine Combined,2006,Gold
"LIGETY, Ted",USA,Men,Alpine Skiing,Giant Slalom,2014,Gold
"LIIKKANEN, Väinö",FIN,Men,Cross Country Skiing,50KM,1932,Silver
"LIKHACHOVA, Galina",RUS,Women,Speed skating,Team Pursuit,2006,Bronze
"LIND, Bjoern",SWE,Men,Cross Country Skiing,Sprint 1.5KM,2006,Gold
"LIND, Bjoern",SWE,Men,Cross Country Skiing,Team Sprint,2006,Gold
"LIND, Juha",FIN,Men,Ice Hockey,Ice Hockey,1998,Bronze
"LINDAHL, Cathrine",SWE,Women,Curling,Curling,2006,Gold
"LINDAHL, Cathrine",SWE,Women,Curling,Curling,2010,Gold
"LINDAHL, Margaretha",SWE,Women,Curling,Curling,1998,Bronze
"LINDBERG, Chris",CAN,Men,Ice Hockey,Ice Hockey,1992,Silver
"LINDBERG, Fredrik",SWE,Men,Curling,Curling,2014,Bronze
"LINDBERG, Ylva",SWE,Women,Ice Hockey,Ice Hockey,2002,Bronze
"LINDBERG, Ylva",SWE,Women,Ice Hockey,Ice Hockey,2006,Silver
"LINDBERGH, Per-Eric",SWE,Men,Ice Hockey,Ice Hockey,1980,Bronze
"LINDBLOM, Göran",SWE,Men,Ice Hockey,Ice Hockey,1984,Bronze
"LINDE, Bertil",SWE,Men,Ice Hockey,Ice Hockey,1928,Silver
